,EV1,EV2,EV3,EV4,EV5
PI651496,-0.022260008,0.056498976,-0.04384371,0.019104011,0.030201265
PI655970,0.093570573,0.081499786,0.027946953,0.031813748,-0.037799938
PI655971,0.002355611,-0.114499094,0.038772814,0.043604408,-0.083832424
PI655973,-0.03887095,-0.060194462,-0.010520738,-0.021012757,-0.148226115
PI655974,0.109161035,0.08830338,0.003348577,0.031897322,-0.058643641
PI655975,0.101046197,0.051392085,0.01420929,0.038932046,-0.079514499
PI655976,0.101471515,0.068455138,-0.02926923,0.007262371,0.026409054
PI655977,-0.08724591,0.017227062,0.062439814,0.036557782,0.018002768
PI655979,-0.019176265,-0.018619034,0.056942202,-0.045590758,-0.061861064
PI655980,-0.018543774,-0.024722987,0.07502474,0.016063799,0.057933619
PI655982,0.017538562,0.068147912,0.038390782,0.041554585,-0.013193152
PI655983,0.092290988,0.07180325,0.012090395,0.011594285,0.017272103
PI655984,0.042936743,0.028513214,0.019586092,0.021350627,-0.053038067
PI655985,0.050893517,-0.013726812,0.010711218,0.04672381,-0.107913879
PI655989,0.061091914,0.02539399,0.065714606,0.024797765,-0.074388615
PI655990,0.013457903,-0.069182054,0.071171298,0.038462994,-0.090241931
PI655991,0.108572665,0.066744507,-0.00256244,0.038248228,-0.065593418
PI655992,0.112711087,0.087432027,0.002100123,0.029816588,-0.05946236
PI655993,0.092599532,0.04690973,0.021213001,0.037734385,-0.072964096
PI655994,0.052987309,0.009172839,-0.003776348,0.028811422,-0.013063419
PI655996,-0.016887481,-0.011217544,0.084485757,-0.067168936,-0.017010593
PI655997,-0.040342075,0.014817986,0.006720877,0.039479,0.016053955
PI655998,0.043082633,0.011619891,0.008116881,-0.063305445,-0.055196301
PI655999,0.021558322,-0.03072249,-0.044879684,0.004404272,0.081333121
PI656000,-0.022863525,0.060326527,0.104651552,0.03875066,0.020702568
PI656001,-0.054592986,0.00712726,0.031189615,0.030551741,-0.030296164
PI656002,0.102180023,0.077197199,-0.004082632,0.024785559,-0.046996407
PI656004,0.012689813,-0.009499087,0.064802549,-0.103977403,-0.03058416
PI656006,0.020451095,0.034844191,0.022052685,0.020195159,-0.008840932
PI656008,-0.069489058,0.04315902,0.078691569,0.025908268,0.040925139
PI656009,-0.062489071,0.057785947,0.008265897,0.038841321,0.034715059
PI656010,-0.000573733,-0.031900346,0.064542652,-0.110141907,-0.049455119
PI656011,-0.05628456,0.021640818,-0.023652777,0.021906176,-0.017788951
PI656012,-0.007540231,-0.12464146,0.011641977,0.055614674,-0.116722574
PI656013,0.01916304,-0.078083719,0.026193269,0.046983663,0.025946306
PI656014,0.016212891,-0.068918622,0.017844261,0.008192572,0.078462998
PI656016,-0.013992627,0.028709734,0.106986082,0.038109514,0.03435114
PI656017,0.002826218,-0.103418875,0.061509483,0.044061854,-0.088933239
PI656019,0.06391631,0.005823885,0.053836286,0.010960226,-0.09920984
PI656021,0.001129895,-0.105323074,0.038967866,0.058183526,-0.08879454
PI656022,0.085415497,0.073563468,0.039536399,0.038654738,-0.027308933
PI656024,-0.085134623,0.045484171,0.065915783,0.029444387,0.052854836
PI656025,0.017185945,-0.094248382,0.007096498,0.053755831,0.017302177
PI656027,-0.052196414,0.017098972,-0.062399087,0.006702901,0.001527256
PI656028,0.079146411,0.058270844,0.011819602,0.006562742,0.049805082
PI656029,0.022874617,-0.042196979,0.010854193,0.05701978,0.038523069
PI656031,-0.069171604,0.049767313,-0.008232976,0.022197589,0.017848118
PI656032,0.052486322,0.038425235,-0.039960815,-0.039953509,0.027126222
PI656033,0.004330391,-0.106801571,0.050802659,0.045063988,-0.105378627
PI656034,-0.087811248,0.050331628,0.106391819,0.044485234,0.054601744
PI656036,-0.085956497,0.041811433,-0.024789486,0.031233813,0.026952698
PI656037,-0.083472196,0.053562504,-0.024859283,0.033181301,0.045754229
PI656038,0.084093569,0.065326519,-0.006687764,0.001983971,0.038429593
PI656039,-0.081567414,0.043817148,0.063426041,0.019561685,0.032170343
PI656040,0.004025435,-0.020796888,0.053148062,-0.102150287,-0.044963266
PI656041,0.001405908,-0.103637715,0.060547022,0.049581039,-0.086799605
PI656042,0.085045919,0.038987034,0.016982518,0.017986057,-0.064793487
PI656046,0.030185895,-0.034081885,-0.042703454,0.049967785,-0.039980698
PI656047,0.017393681,-0.10856866,0.00249321,0.069537586,0.009275564
PI656048,-0.036146553,0.059429538,0.09702583,0.028761253,0.045216959
PI656049,0.080869855,0.060645375,-0.002801803,-0.007481083,0.043671497
PI656050,-0.042432534,0.018716872,-0.048767712,-0.008491075,-0.007190769
PI656052,0.012014142,0.034603188,0.09225578,0.032923831,0.008413115
PI656053,-0.014566665,0.050630742,0.108065951,0.050368495,0.022661438
PI656054,-0.031400845,-0.018311635,0.040593563,-0.09305461,-0.014435414
PI656055,-0.052648335,0.038697717,0.111117693,0.040604255,0.050524811
PI656057,-0.077688586,0.032607958,-0.076909498,0.00955658,-0.058044299
PI656058,-0.004731068,0.046948885,0.047855479,0.003763314,-0.007673959
PI656059,-0.064921767,0.038173219,0.080870609,0.035002756,0.036817641
PI656060,0.103687495,0.079246888,0.000782821,0.029725297,-0.04620337
PI656061,0.106198932,0.051527306,-0.059907704,-0.026351403,0.010786743
PI656062,-0.058979057,0.022528288,-0.040439501,0.024563116,-0.016078386
PI656063,0.029993369,0.034024275,0.024958319,0.0393016,-0.022866152
PI656066,-0.008417637,-0.074198274,0.016879552,-0.00537742,-0.011049624
PI656067,0.02047592,-0.076324612,0.015114057,0.059600789,0.021290201
PI656068,-0.06337642,0.041356327,0.119907915,0.040730733,0.054498413
PI656069,-0.035089865,-0.000515902,0.008748469,0.016371022,-0.041175534
PI656070,-0.059799649,0.03044003,-0.027329535,0.033056141,0.012936396
PI656071,-0.062956442,0.008866229,-0.062550529,0.008609768,0.003979927
PI656073,-0.040199278,-0.049354534,-0.007916036,-0.023204318,-0.132919674
PI656074,-0.020790082,-0.016869745,-0.007300149,-0.03426277,-0.035326991
PI656075,-0.063465397,0.046867853,-0.042320416,0.009687033,0.003650871
PI656076,-0.070364524,0.035159521,0.068719383,0.028458836,0.047885835
PI656077,-0.012666727,-0.078317002,0.018523059,0.004788111,-0.041655235
PI656078,0.019114604,-0.033286107,-0.032828637,-0.094357117,0.149854995
PI656079,-0.006633917,-0.028735499,0.042483882,-0.132775495,-0.014988121
PI656080,0.042851905,0.040055466,-0.034859632,-0.048172476,0.009496367
PI656081,0.031697,-0.038846172,-0.058171466,-0.114023898,0.191424776
PI656082,0.005499996,-0.100371844,0.02254997,0.038289164,0.005608752
PI656085,-0.045564192,0.037560628,-0.028749364,0.013722643,-0.016162354
PI656086,-0.023182804,-0.059118144,0.002392564,-0.012722791,-0.022392249
PI656087,-0.027408143,-0.00701949,-0.003801018,-0.011220061,-0.053329626
PI656088,0.015563516,-0.101851694,-0.038970658,0.051937444,0.008173045
PI656089,0.017316628,-0.093498154,-0.024862627,0.056759938,0.014215376
PI656090,-0.032813212,-0.019082187,-0.058098385,-0.029129711,0.004124241
PI656091,0.012612514,-0.088180314,-0.027554908,0.051920316,0.030868774
PI656092,0.028021587,-0.071614478,-0.020681687,0.056561957,0.055804407
PI656093,0.003727749,-0.021686933,0.044847438,-0.127721662,-0.020768764
PI656094,0.009970553,-0.017330812,0.061475691,-0.138915726,-0.000936577
PI656095,0.000213194,-0.040053844,0.055788332,-0.126242827,-0.0254417
PI656096,-0.000887761,-0.027441439,0.056784401,-0.148023462,-0.024840859
PI656098,-0.044542925,0.011181531,-0.072189245,-0.01053239,-0.051928824
PI656099,0.022506472,-0.070611019,-0.014596154,0.080110851,0.044489014
PI656100,0.019435787,-0.094077798,0.002196057,0.088573096,0.011582232
PI656101,-0.035881197,-0.044166066,-0.013151386,-0.015746566,-0.134484287
PI656102,0.015041903,0.008561357,-0.079742432,-0.054438668,0.0328536
PI656103,0.008811843,-0.082146675,0.006706012,0.029846035,0.003553398
PI656104,0.043024391,-0.06677914,-0.054751075,0.049874491,0.050166999
PI656105,-0.025126105,0.046988467,-0.060037405,0.006299617,-0.028352961
PI656106,-0.03269203,0.052801376,-0.052767514,0.007242272,-0.046159573
PI656107,-0.057228849,-0.051151032,-0.016532857,-0.004514915,-0.097662106
PI656108,0.025480297,-0.091326482,-0.030201053,0.067984077,0.034304186
PI656109,-0.018248826,0.001639364,-0.081560019,-0.040731142,-0.03653915
PI656110,0.025586104,-0.08364687,-0.064651865,0.007813844,0.070349036
