Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
2	SORBI_3002G115200	AEG_o_30_2_,PC_38_3_,TG_56_5_,TG_60_5_,TG_60_6_	173,189,182,179,184	SNP_14124716,SNP_14124716,SNP_14124716,SNP_14124716,SNP_14124716	6.962226e-10,4.061886e-11,3.753589e-08,4.214345e-08,2.96886e-09	5
2	SORBI_3002G115300	AEG_o_30_2_,PC_38_3_,TG_56_5_,TG_60_5_,TG_60_6_	213,238,212,204,198	SNP_14128279,SNP_14128279,SNP_14128279,SNP_14128279,SNP_14128282	6.962226e-10,4.061886e-11,3.753589e-08,4.214345e-08,2.96886e-09	5
2	SORBI_3002G115500	TG_56_5_,TG_58_5_,TG_60_4_,TG_60_5_,TG_60_6_	95,25,59,32,26	SNP_14205731,SNP_14205794,SNP_14205781,SNP_14205781,SNP_14205829	3.146871e-09,1.600164e-08,8.1996e-09,2.890888e-09,1.150184e-10	5
2	SORBI_3002G115600	TG_56_5_,TG_58_5_,TG_60_4_,TG_60_5_,TG_60_6_	47,29,43,33,34	SNP_14215386,SNP_14215900,SNP_14215386,SNP_14215900,SNP_14215900	3.146871e-09,1.600164e-08,8.1996e-09,2.890888e-09,1.150184e-10	5
2	SORBI_3002G115700	TG_56_5_,TG_58_5_,TG_60_4_,TG_60_5_,TG_60_6_	33,27,30,31,31	SNP_14223767,SNP_14229940,SNP_14223767,SNP_14223767,SNP_14229940	3.146871e-09,1.600164e-08,8.1996e-09,2.890888e-09,1.150184e-10	5
2	SORBI_3002G115801	TG_58_5_,TG_58_6_,TG_60_4_,TG_60_5_,TG_60_6_	40,45,46,45,49	SNP_14254110,SNP_14254110,SNP_14254110,SNP_14254110,SNP_14253055	5.255502e-08,1.737336e-09,1.508284e-08,4.022981e-09,3.462732e-10	5
2	SORBI_3002G115900	TG_58_5_,TG_58_6_,TG_60_4_,TG_60_5_,TG_60_6_	61,64,70,66,74	SNP_14254110,SNP_14254110,SNP_14254110,SNP_14254110,SNP_14253055	5.255502e-08,1.737336e-09,1.508284e-08,4.022981e-09,3.462732e-10	5
2	SORBI_3002G117400	TG_58_5_,TG_58_6_,TG_60_4_,TG_60_5_,TG_60_6_	57,33,41,51,48	SNP_14478551,SNP_14478551,SNP_14478551,SNP_14478551,SNP_14478551	4.201507e-12,1.109073e-10,4.491482e-11,3.761098e-13,5.117025e-12	5
3	SORBI_3003G161950	MG_20_4_,TG_58_5_,TG_58_6_,TG_60_5_,TG_60_6_	10,34,46,28,43	SNP_19579376,SNP_19584715,SNP_19584058,SNP_19594590,SNP_19583896	4.125017e-09,5.388727e-09,2.609362e-10,8.127653e-08,1.15387e-10	5
3	SORBI_3003G175950	AEG_o_30_2_,TG_52_5_,TG_52_6_,TG_56_4_,TG_56_5_	86,81,93,75,89	SNP_44528871,SNP_44528881,SNP_44528881,SNP_44528881,SNP_44528881	3.323363e-08,1.788213e-08,6.890542e-09,2.957365e-08,1.460947e-10	5
