Chromosome	gene	phenotype	n_snps	best_snp	best_pvalue	phenotype_number
1	SORBI_3001G057100	PC(18:1_18:2);PC(18:1_20:4);PC(18:2_20:4)	8;13;49	SNP_4303626;SNP_4294935;SNP_4293444	4.753417e-12;1.517886e-18;2.681153e-30	3
1	SORBI_3001G231400	PC(16:0_22:6);PC(18:0_20:4);PC(18:3_0:0)	160;64;163	SNP_22329729;SNP_22329867;SNP_22329729	1.208403e-08;5.916574e-08;1.827148e-08	3
1	SORBI_3001G231500	PC(16:0_22:6);PC(18:0_20:4);PC(18:3_0:0)	180;84;184	SNP_22330525;SNP_22330535;SNP_22330525	1.208403e-08;5.916574e-08;1.827148e-08	3
1	SORBI_3001G231600	PC(16:0_22:6);PC(18:0_20:4);PC(18:3_0:0)	319;227;324	SNP_22340251;SNP_22342424;SNP_22340251	1.208403e-08;5.916574e-08;1.827148e-08	3
1	SORBI_3001G231700	PC(16:0_22:6);PC(18:0_20:4);PC(18:3_0:0)	446;386;451	SNP_22344941;SNP_22347809;SNP_22344941	1.208403e-08;5.916574e-08;1.827148e-08	3
2	SORBI_3002G115200	PC(16:1_20:5);PC(18:1_18:2);PC(18:2_20:4)	173;189;183	SNP_14125643;SNP_14124716;SNP_14124716	3.726411e-08;4.061886e-11;1.554754e-10	3
2	SORBI_3002G115300	PC(16:1_20:5);PC(18:1_18:2);PC(18:2_20:4)	187;238;231	SNP_14128332;SNP_14128279;SNP_14128279	3.726411e-08;4.061886e-11;4.990549e-11	3
2	SORBI_3002G153100	PC(14:0_18:3);PC(16:0_20:1);PC(16:2_16:1)	10;56;10	SNP_45776435;SNP_45749676;SNP_45750111	2.976576e-19;3.576956e-15;2.123132e-09	3
2	SORBI_3002G153200	PC(14:0_18:3);PC(16:0_20:1);PC(16:2_16:1)	10;57;8	SNP_45776435;SNP_45770777;SNP_45776435	2.976576e-19;3.576956e-15;2.123132e-09	3
3	SORBI_3003G169600	PC(18:1_18:2);PC(18:1_20:4);PC(18:2_20:4)	47;52;49	SNP_29137119;SNP_29137353;SNP_29144290	4.753417e-12;1.517886e-18;2.681153e-30	3
3	SORBI_3003G169700	PC(18:1_18:2);PC(18:1_20:4);PC(18:2_20:4)	36;34;39	SNP_29144290;SNP_29144290;SNP_29144290	4.753417e-12;1.517886e-18;2.681153e-30	3
